# Common Japanese phrases — high-frequency expressions as single dictionary entries.
# These act as anchors for Viterbi: a full-phrase match with low cost will rank
# at or near the top even without KenLM context.
# Format: reading\tsurface\tleft_id\tright_id\tcost
#
# POS IDs: Use sentence-initial (noun-like) left_id and sentence-final right_id
# appropriate for the phrase ending (ます=240, です=172, etc.)

# --- Greetings & Politeness ---
おせわになっております	お世話になっております	1842	240	800
おせわになります	お世話になります	1842	240	900
おせわになりました	お世話になりました	1842	240	900
おはようございます	おはようございます	1842	240	800
こんにちは	こんにちは	1842	1842	900
こんばんは	こんばんは	1842	1842	900
ありがとうございます	ありがとうございます	1842	240	700
ありがとうございました	ありがとうございました	1842	240	800
よろしくおねがいします	よろしくお願いします	12	240	700
よろしくおねがいいたします	よろしくお願いいたします	12	240	800
おつかれさまです	お疲れ様です	1842	172	800
おつかれさまでした	お疲れ様でした	1842	172	800
おめでとうございます	おめでとうございます	1842	240	900
はじめまして	初めまして	1842	240	900
いただきます	いただきます	1842	240	1000
ごちそうさまでした	ごちそうさまでした	1842	172	1000
ただいま	ただいま	12	12	1000
おかえりなさい	お帰りなさい	1842	1842	1000
いってきます	行ってきます	1842	240	1000
いってらっしゃい	行ってらっしゃい	1842	1842	1000
おやすみなさい	おやすみなさい	1842	1842	1000
さようなら	さようなら	1842	1842	1000

# --- Apologies ---
すみません	すみません	1842	45	800
すいません	すいません	1842	45	900
もうしわけございません	申し訳ございません	1842	45	800
もうしわけありません	申し訳ありません	1842	45	900
ごめんなさい	ごめんなさい	1842	1842	900
おまたせしました	お待たせしました	1842	240	1000
おまたせいたしました	お待たせいたしました	1842	240	1000

# --- Business / Email ---
おいそがしいところ	お忙しいところ	1842	1842	1200
おいそがしいところすみません	お忙しいところすみません	1842	45	1000
おてすうおかけします	お手数おかけします	1842	240	1000
おてすうおかけしますが	お手数おかけしますが	1842	433	1000
ごかくにんください	ご確認ください	1842	1842	900
ごかくにんのほど	ご確認のほど	1842	1842	1000
ごけんとうのほど	ご検討のほど	1842	1842	1000
ごけんとうよろしくおねがいします	ご検討よろしくお願いします	1842	240	900
おへんじおまちしております	お返事お待ちしております	1842	240	1000
ごれんらくいただけますと	ご連絡いただけますと	1842	1842	1100
ごれんらくいただけますとさいわいです	ご連絡いただけますと幸いです	1842	172	1000
いかがでしょうか	いかがでしょうか	12	172	900
なにとぞよろしくおねがいいたします	何卒よろしくお願いいたします	1842	240	800
おそれいりますが	恐れ入りますが	1842	433	1000
ごりょうしょうください	ご了承ください	1842	1842	1000
おしらせいたします	お知らせいたします	1842	240	1000
ごほうこくいたします	ご報告いたします	1842	240	1000
とりいそぎごれんらくいたします	取り急ぎご連絡いたします	1842	240	1000
いつもおせわになっております	いつもお世話になっております	12	240	700
たいへんおせわになっております	大変お世話になっております	1842	240	800

# --- Conversational ---
そうですね	そうですね	1842	172	1000
そうですか	そうですか	1842	172	1000
そうなんですね	そうなんですね	1842	172	1000
そうなんですか	そうなんですか	1842	172	1000
わかりました	わかりました	1842	240	800
わかりました	分かりました	1842	240	900
しょうちしました	承知しました	1842	240	900
しょうちいたしました	承知いたしました	1842	240	900
かしこまりました	かしこまりました	1842	240	900
だいじょうぶです	大丈夫です	1842	172	900
だいじょうぶですか	大丈夫ですか	1842	172	900
もんだいありません	問題ありません	1842	45	1000
もちろんです	もちろんです	1842	172	1000
そのとおりです	その通りです	1842	172	1000
おっしゃるとおりです	おっしゃる通りです	1842	172	1000
なるほど	なるほど	12	12	1000
たしかに	確かに	12	12	1000
とんでもございません	とんでもございません	1842	45	1000
きにしないでください	気にしないでください	1842	1842	1000
おきをつけて	お気をつけて	1842	1842	1100
がんばってください	頑張ってください	1842	1842	1000
がんばります	頑張ります	1842	240	1000
たのしみにしています	楽しみにしています	1842	240	1000
おまちしております	お待ちしております	1842	240	1000

# --- Auxiliary patterns (function word sequences) ---
# These help Viterbi choose correct segmentation for common patterns
になって	になって	268	33	1500
になった	になった	268	240	1500
になる	になる	268	638	1500
になります	になります	268	240	1200
になりました	になりました	268	240	1200
ております	ております	796	240	1200
ている	ている	796	638	1500
ています	ています	796	240	1200
ていた	ていた	796	240	1500
ではない	ではない	172	172	1500
ではありません	ではありません	172	45	1200
ではないでしょうか	ではないでしょうか	172	172	1200
することが	することが	638	433	1500
するために	するために	638	268	1500
していただけますか	していただけますか	638	172	1000
させていただきます	させていただきます	638	240	1000
させていただければ	させていただければ	638	638	1100
いただければさいわいです	いただければ幸いです	638	172	1000
