# Static bigram data: frequently co-occurring word pairs
# Format: prev_surface\tnext_reading\tnext_surface\tboost
# boost is subtracted from the candidate cost (higher = stronger preference)
# These supplement the user-learned bigrams with common Japanese collocations
#
# === 動詞+助詞/助動詞 ===
する	こと	こと	2000
する	の	の	1800
する	ため	ため	1800
する	よう	よう	1500
する	と	と	1500
する	なら	なら	1200
する	べき	べき	1500
する	まで	まで	1200
した	こと	こと	2000
した	の	の	1800
した	とき	時	1500
した	ほう	方	1500
した	あと	後	1200
した	けど	けど	1200
した	のに	のに	1200
して	いる	いる	2000
して	いた	いた	1800
して	ください	ください	2000
して	おく	おく	1500
して	みる	みる	1500
して	から	から	1500
して	ほしい	ほしい	1500
して	もらう	もらう	1500
して	あげる	あげる	1200
して	くれる	くれる	1500
して	しまう	しまう	1500
なる	と	と	1800
なる	の	の	1500
なる	まで	まで	1200
なった	の	の	1500
なった	ので	ので	1500
ある	こと	こと	2000
ある	の	の	1800
ある	ので	ので	1500
ある	けど	けど	1200
ある	から	から	1200
いる	こと	こと	1800
いる	の	の	1500
いる	けど	けど	1200
いる	から	から	1200
いた	の	の	1500
いた	けど	けど	1200
できる	よう	よう	1500
できる	こと	こと	1500
できる	から	から	1200
思う	の	の	1500
思う	けど	けど	1500
思う	から	から	1200
思った	の	の	1500
思った	けど	けど	1200
言う	こと	こと	1500
言う	と	と	1500
言った	の	の	1200
見る	こと	こと	1500
見る	と	と	1500
行く	こと	こと	1200
行く	の	の	1200
来る	の	の	1200
使う	こと	こと	1200
使う	の	の	1200
知る	こと	こと	1500
知って	いる	いる	1800
分かる	よう	よう	1200
分かった	の	の	1200
# === 名詞+助詞 ===
こと	が	が	2000
こと	を	を	1800
こと	に	に	1800
こと	は	は	1500
こと	も	も	1200
もの	が	が	1800
もの	を	を	1500
もの	の	の	1500
もの	は	は	1200
人	が	が	1800
人	の	の	1800
人	に	に	1500
人	は	は	1500
人	も	も	1200
時	に	に	2000
時	は	は	1500
時	の	の	1200
場合	は	は	2000
場合	に	に	1800
場合	の	の	1200
方	が	が	1800
方	を	を	1500
方	の	の	1200
方	は	は	1200
所	に	に	1500
所	の	の	1200
所	で	で	1200
中	に	に	1500
中	で	で	1500
中	の	の	1200
上	に	に	1500
上	で	で	1200
上	の	の	1200
下	に	に	1200
前	に	に	1800
前	の	の	1200
後	に	に	1500
後	の	の	1200
後	で	で	1200
間	に	に	1500
間	の	の	1200
間	で	で	1200
気	に	に	1500
気	が	が	1500
手	に	に	1200
目	に	に	1200
名前	は	は	1200
名前	の	の	1200
問題	が	が	1500
問題	は	は	1500
問題	の	の	1200
意味	が	が	1500
意味	は	は	1200
意味	の	の	1200
理由	は	は	1500
理由	が	が	1500
結果	は	は	1200
結果	が	が	1200
# === 助詞+動詞 ===
を	する	する	1800
を	した	した	1500
を	して	して	1500
を	見る	見る	1200
を	使う	使う	1200
を	持つ	持つ	1200
を	知る	知る	1200
を	考える	考える	1200
を	作る	作る	1200
が	ある	ある	2000
が	あった	あった	1500
が	ない	ない	2000
が	なかった	なかった	1500
が	できる	できる	1800
が	できない	できない	1500
が	必要	必要	1500
が	欲しい	欲しい	1200
が	多い	多い	1200
に	する	する	1500
に	なる	なる	2000
に	なった	なった	1500
に	ある	ある	1500
に	よる	よる	1500
に	よって	よって	1500
に	ついて	ついて	1800
に	対して	対して	1500
に	関して	関して	1200
に	おいて	おいて	1200
に	入る	入る	1200
に	入れる	入れる	1200
で	ある	ある	1800
で	きる	きる	1200
で	する	する	1200
で	使う	使う	1200
は	ない	ない	2000
は	なかった	なかった	1500
は	ある	ある	1500
