aa	aa	4500
aa	Aa	4700
aaa	aaa	5500
aaa	Aaa	5700
aac	aac	6500
aac	Aac	6700
aaliyah	aaliyah	6500
aaliyah	Aaliyah	6700
aaron	aaron	5500
aaron	Aaron	5700
ab	ab	4500
ab	Ab	4700
aba	aba	6500
aba	Aba	6700
abandon	abandon	6500
abandon	Abandon	6700
abandoned	abandoned	5500
abandoned	Abandoned	5700
abatement	abatement	6500
abatement	Abatement	6700
abba	abba	6500
abba	Abba	6700
abbey	abbey	6500
abbey	Abbey	6700
abbott	abbott	6500
abbott	Abbott	6700
abbreviation	abbreviation	6500
abbreviation	Abbreviation	6700
abbreviations	abbreviations	6500
abbreviations	Abbreviations	6700
abby	abby	6500
abby	Abby	6700
abc	abc	4500
abc	Abc	4700
abdominal	abdominal	6500
abdominal	Abdominal	6700
abdul	abdul	6500
abdul	Abdul	6700
abe	abe	6500
abe	Abe	6700
aberdeen	aberdeen	5500
aberdeen	Aberdeen	5700
abi	abi	6500
abi	Abi	6700
abide	abide	6500
abide	Abide	6700
abigail	abigail	6500
abigail	Abigail	6700
abilities	abilities	5500
abilities	Abilities	5700
ability	ability	4500
ability	Ability	4700
abit	abit	6500
abit	Abit	6700
able	able	3500
able	Able	3700
abn	abn	6500
abn	Abn	6700
abnormal	abnormal	6500
abnormal	Abnormal	6700
abnormalities	abnormalities	6500
abnormalities	Abnormalities	6700
aboard	aboard	6500
aboard	Aboard	6700
aboriginal	aboriginal	5500
aboriginal	Aboriginal	5700
abortion	abortion	5500
abortion	Abortion	5700
about	about	3500
about	About	3800
above	above	3500
above	Above	3700
abraham	abraham	5500
abraham	Abraham	5700
abramoff	abramoff	6500
abramoff	Abramoff	6700
abroad	abroad	4500
abroad	Abroad	4700
abs	abs	5500
abs	Abs	5700
absence	absence	4500
absence	Absence	4700
absent	absent	5500
absent	Absent	5700
absolute	absolute	4500
absolute	Absolute	4700
absolutely	absolutely	4500
absolutely	Absolutely	4700
absorb	absorb	6500
absorb	Absorb	6700
absorbed	absorbed	6500
absorbed	Absorbed	6700
absorbing	absorbing	6500
absorbing	Absorbing	6700
absorption	absorption	5500
absorption	Absorption	5700
abstract	abstract	3000
abstract	Abstract	3200
abstraction	abstraction	6500
abstraction	Abstraction	6700
abstracts	abstracts	5500
abstracts	Abstracts	5700
absurd	absurd	6500
absurd	Absurd	6700
abt	abt	6500
abt	Abt	6700
abu	abu	5500
abu	Abu	5700
abundance	abundance	6500
abundance	Abundance	6700
abundant	abundant	6500
abundant	Abundant	6700
abuse	abuse	4500
abuse	Abuse	4700
abused	abused	6500
abused	Abused	6700
abuses	abuses	6500
abuses	Abuses	6700
abusive	abusive	6500
abusive	Abusive	6700
ac	ac	4500
ac	Ac	4700
aca	aca	6500
aca	Aca	6700
acad	acad	6500
acad	Acad	6700
academia	academia	6500
academia	Academia	6700
academic	academic	4500
academic	Academic	4700
academics	academics	5500
academics	Academics	5700
academies	academies	6500
academies	Academies	6700
academy	academy	4500
academy	Academy	4700
acapulco	acapulco	6500
acapulco	Acapulco	6700
acc	acc	4500
acc	Acc	4700
accelerate	accelerate	6500
accelerate	Accelerate	6700
accelerated	accelerated	6500
accelerated	Accelerated	6700
acceleration	acceleration	6500
acceleration	Acceleration	6700
accelerator	accelerator	6500
accelerator	Accelerator	6700
accent	accent	5500
accent	Accent	5700
accents	accents	6500
accents	Accents	6700
accept	accept	4500
accept	Accept	4700
acceptable	acceptable	4500
acceptable	Acceptable	4700
acceptance	acceptance	4500
acceptance	Acceptance	4700
accepted	accepted	4500
accepted	Accepted	4700
accepting	accepting	5500
accepting	Accepting	5700
accepts	accepts	5500
accepts	Accepts	5700
access	access	3000
access	Access	3200
accessed	accessed	5500
accessed	Accessed	5700
accesses	accesses	6500
accesses	Accesses	6700
accessibility	accessibility	4500
accessibility	Accessibility	4700
accessible	accessible	4500
accessible	Accessible	4700
accessing	accessing	5500
accessing	Accessing	5700
accession	accession	6500
accession	Accession	6700
accessories	accessories	3000
accessories	Accessories	3200
accessory	accessory	4500
accessory	Accessory	4700
accident	accident	4500
accident	Accident	4700
accidental	accidental	6500
accidental	Accidental	6700
accidentally	accidentally	6500
accidentally	Accidentally	6700
accidents	accidents	5500
accidents	Accidents	5700
acclaim	acclaim	6500
acclaim	Acclaim	6700
acclaimed	acclaimed	6500
acclaimed	Acclaimed	6700
accolades	accolades	6500
accolades	Accolades	6700
accommodate	accommodate	5500
accommodate	Accommodate	5700
accommodation	accommodation	4500
accommodation	Accommodation	4700
accommodations	accommodations	5500
accommodations	Accommodations	5700
accomodation	accomodation	6500
accomodation	Accomodation	6700
accompanied	accompanied	5500
accompanied	Accompanied	5700
accompany	accompany	6500
accompany	Accompany	6700
accompanying	accompanying	5500
accompanying	Accompanying	5700
accomplish	accomplish	5500
accomplish	Accomplish	5700
accomplished	accomplished	5500
accomplished	Accomplished	5700
accomplishment	accomplishment	6500
accomplishment	Accomplishment	6700
accomplishments	accomplishments	6500
accomplishments	Accomplishments	6700
accord	accord	6500
accord	Accord	6700
accordance	accordance	4500
accordance	Accordance	4700
according	according	4500
according	According	4700
accordingly	accordingly	5500
accordingly	Accordingly	5700
account	account	3000
account	Account	3200
accountability	accountability	5500
accountability	Accountability	5700
accountable	accountable	6500
accountable	Accountable	6700
accountancy	accountancy	6500
accountancy	Accountancy	6700
accountant	accountant	6500
accountant	Accountant	6700
accountants	accountants	6500
accountants	Accountants	6700
accounted	accounted	6500
accounted	Accounted	6700
accounting	accounting	4500
accounting	Accounting	4700
accounts	accounts	4500
accounts	Accounts	4700
accreditation	accreditation	5500
accreditation	Accreditation	5700
accredited	accredited	5500
accredited	Accredited	5700
accrued	accrued	6500
accrued	Accrued	6700
acct	acct	6500
acct	Acct	6700
accumulate	accumulate	6500
accumulate	Accumulate	6700
accumulated	accumulated	6500
accumulated	Accumulated	6700
accumulation	accumulation	6500
accumulation	Accumulation	6700
accuracy	accuracy	4500
accuracy	Accuracy	4700
accurate	accurate	4500
accurate	Accurate	4700
accurately	accurately	5500
accurately	Accurately	5700
accused	accused	5500
accused	Accused	5700
accustomed	accustomed	6500
accustomed	Accustomed	6700
acdbentity	acdbentity	5500
acdbentity	Acdbentity	5700
acdbline	acdbline	6500
acdbline	Acdbline	6700
ace	ace	5500
ace	Ace	5700
acer	acer	5500
acer	Acer	5700
aces	aces	6500
aces	Aces	6700
acetate	acetate	6500
acetate	Acetate	6700
